objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
329,S12000008,East Ayrshire, ,255398,624935,-4.29056978,55.49673843,1270341778.33227,340970.913051566
330,S12000010,East Lothian, ,354854,672351,-2.72434998,55.94207001,679179837.419582,200290.325368725
331,S12000011,East Renfrewshire, ,251929,653115,-4.36059999,55.74868011,174249497.735123,93882.5137990992
332,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65721989,58.19937897,3099789494.95577,3929819.32122287
333,S12000014,Falkirk, ,289661,679536,-3.77060008,55.99604034,297365616.777253,145018.699641886
334,S12000015,Fife, ,339197,704726,-2.98235011,56.23117065,1325025031.12909,342893.550689512
335,S12000017,Highland, ,241026,858306,-4.66091013,57.586689,26162799384.1304,5261281.85429813
336,S12000018,Inverclyde, ,227922,670899,-4.75387001,55.90034866,161960766.069748,79800.3152742026
337,S12000019,Midlothian, ,330088,659217,-3.1173799,55.82110977,355271570.501209,126470.851560428
338,S12000020,Moray, ,328024,843593,-3.20186996,57.47682953,2237581330.18793,437925.106234713
339,S12000021,North Ayrshire, ,228984,651640,-4.7247901,55.72787857,885413970.524221,350824.401388237
340,S12000023,Orkney Islands, ,348291,1006584,-2.90028,58.9433403,1013345938.23284,1224811.44672067
341,S12000024,Perth and Kinross, ,284304,744186,-3.88479996,56.57529068,5383770074.25261,619552.653305645
342,S12000026,Scottish Borders, ,345891,626135,-2.85865998,55.52593994,4739182464.62056,514890.012902161
343,S12000027,Shetland Islands, ,434516,1180307,-1.37344003,60.50495148,1469089321.27736,2382990.47535767
344,S12000028,South Ayrshire, ,226544,596270,-4.72901011,55.23006821,1224112992.25883,331901.741831095
345,S12000029,South Lanarkshire, ,284634,636071,-3.83272004,55.60453033,1773897201.58387,284527.312676134
346,S12000030,Stirling, ,255980,708769,-4.32595015,56.24953079,2253344414.32624,341963.162034453
347,S12000033,Aberdeen City, ,387763,808478,-2.20397997,57.1669693,185692364.455024,126120.25472517
348,S12000034,Aberdeenshire, ,352286,816276,-2.79204988,57.23468018,6317961087.42299,801585.948373451
349,S12000035,Argyll and Bute, ,200740,715442,-5.22113991,56.28942871,7007704875.98857,3826979.18511918
350,S12000036,City of Edinburgh, ,320193,669416,-3.27825999,55.91119003,263351792.135435,108121.086983554
351,S12000038,Renfrewshire, ,239305,664698,-4.56833982,55.84862137,261487655.559295,131630.783394677
352,S12000039,West Dunbartonshire, ,242904,681587,-4.52074003,56.00141144,177306047.858517,100567.97664583
353,S12000040,West Lothian, ,299483,668514,-3.60909009,55.89920044,428772095.900885,134896.618895882
354,S12000041,Angus, ,345518,759594,-2.89189005,56.72480011,2185172675.7489,319856.737798828
355,S12000042,Dundee City, ,340291,732145,-2.97094989,56.4776001,59830969.4385264,46805.9625960423
356,S12000044,North Lanarkshire, ,277984,665608,-3.95140004,55.86814117,472216142.929567,164226.594781035
357,S12000045,East Dunbartonshire, ,261240,676154,-4.22417021,55.9582901,174489016.794831,99603.030711706
358,S12000046,Glasgow City, ,261534,667033,-4.21478987,55.87649155,174705533.570513,136108.277145082
359,W06000001,Isle of Anglesey,Ynys Môn,245222,378346,-4.32290983,53.27944946,714458085.916,361684.603812161
360,W06000002,Gwynedd,Gwynedd,277968,334967,-3.8155899,52.89825821,2548075152.70089,585237.644257862
361,W06000003,Conwy,Conwy,283293,362562,-3.74645996,53.14738846,1130191390.57379,273510.932899305
362,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.08832932,838544271.49821,228400.977488298
363,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17604995,53.21498108,437490023.566381,197537.284914463
364,W06000006,Wrexham,Wrecsam,333523,345387,-2.99202991,53.00167084,503773486.59777,190056.943922947
365,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94993997,52.29795074,1789001593.24334,373806.683636517
366,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818024,51.85512161,1618677382.70157,726409.561442253
367,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111001,51.89495087,2371133061.08886,564480.68879664
368,W06000011,Swansea,Abertawe,264022,197308,-3.96723008,51.65805817,379659110.258638,271926.452608186
369,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638009,51.64450073,442335439.063313,172778.835964803
370,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.56058121,250730335.684679,90598.1358457694
371,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803004,51.44837952,331192712.915449,106758.482451135
372,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212005,51.50254059,142287247.036369,79678.4906865323
373,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41358995,51.62184906,424150424.907122,130240.681748738
374,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753003,51.65000916,277387812.853539,116205.743182
375,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75363922,108728054.380809,65601.7336089082
376,W06000020,Torfaen,Torfaen,327459,200480,-3.05100989,51.69836044,126239928.786357,82544.7937865521
377,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.90280008,51.77827072,850271715.577744,223993.146864509
378,W06000022,Newport,Casnewydd,337897,187433,-2.89769006,51.58232117,190524786.014529,153277.297821375
379,W06000023,Powys,Powys,302328,273254,-3.43532991,52.348629,5195320915.90977,610110.653413354
380,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36424994,51.74858093,111957017.182523,66696.9461259248
